"date","os_infotainment","charging_status","n_rides_lyftnav","n_drivers_lyftnav","battery_delta","nav_hours","n_rides_lyftnav_not_full_charging","n_drivers_lyftnav_not_full_charging","battery_delta_not_full_charging","nav_hours_not_full_charging"
"2024-01-01 00:00:00.000","IOS (NONE)","first_charging_last_charging",523621,83199,1687152.0,175707.8092572216,317936,73002,1687152.0,106340.84305749992
"2024-01-01 00:00:00.000","IOS (ANDROID_AUTO)","first_not_charging_last_charging",15,7,211.0,5.652379722222222,15,7,211.0,5.652379722222222
"2024-01-01 00:00:00.000","IOS (NONE)","first_not_charging_last_not_charging",236515,51638,22106.0,77716.39685305562,236515,51638,22106.0,77716.39685305562
"2024-01-01 00:00:00.000","IOS (NONE)","first_not_charging_last_charging",40964,29537,265627.0,16175.159995555487,40964,29537,265627.0,16175.159995555487
"2024-01-01 00:00:00.000","ANDROID (ANDROID_AUTO)","first_charging_last_not_charging",436,330,748.0,182.87848916666653,436,330,748.0,182.87848916666653
"2024-01-01 00:00:00.000","ANDROID (ANDROID_AUTO)","first_not_charging_last_not_charging",1101,414,91.0,389.24142472222235,1101,414,91.0,389.24142472222235
"2024-01-01 00:00:00.000","IOS (ANDROID_AUTO)","first_charging_last_not_charging",2,2,6.0,0.4455175,2,2,6.0,0.4455175
"2024-01-01 00:00:00.000","ANDROID (ANDROID_AUTO)","first_not_charging_last_charging",1433,1011,2763.0,569.8960605555562,1433,1011,2763.0,569.8960605555562
"2024-01-01 00:00:00.000","IOS (CARPLAY)","first_not_charging_last_not_charging",19711,4870,4118.0,6729.226976388876,19711,4870,4118.0,6729.226976388876
"2024-01-01 00:00:00.000","ANDROID (NONE)","first_charging_last_not_charging",12446,9471,14805.0,5117.506646111119,12446,9471,14805.0,5117.506646111119
"2024-01-01 00:00:00.000","ANDROID (NONE)","first_charging_last_charging",397196,55360,717222.0,137068.37188777805,277511,49509,717222.0,95862.933977222
"2024-01-01 00:00:00.000","ANDROID (ANDROID_AUTO)","first_charging_last_charging",29658,3628,32976.0,10711.92355166666,23993,3372,32976.0,8668.8550275
"2024-01-01 00:00:00.000","IOS (ANDROID_AUTO)","first_not_charging_last_not_charging",6,5,4.0,1.9118094444444442,6,5,4.0,1.9118094444444442
"2024-01-01 00:00:00.000","ANDROID (NONE)","first_not_charging_last_charging",29736,21071,75829.0,11890.288079999966,29736,21071,75829.0,11890.288079999966
"2024-01-01 00:00:00.000","ANDROID (CARPLAY)","first_charging_last_not_charging",71,51,175.0,29.04176555555556,71,51,175.0,29.04176555555556
"2024-01-01 00:00:00.000","ANDROID (NONE)","first_not_charging_last_not_charging",88999,25746,9926.0,29763.385060555513,88999,25746,9926.0,29763.385060555513
"2024-01-01 00:00:00.000","ANDROID (CARPLAY)","first_charging_last_charging",391,136,2094.0,154.53449888888898,226,107,2094.0,87.60620722222222
"2024-01-01 00:00:00.000","IOS (ANDROID_AUTO)","first_charging_last_charging",36,15,373.0,11.830651388888892,30,15,373.0,10.178398333333336
"2024-01-01 00:00:00.000","IOS (CARPLAY)","first_charging_last_charging",220303,30478,536944.0,76747.8855480556,127401,26130,536944.0,44118.8214925001
"2024-01-01 00:00:00.000","IOS (NONE)","first_charging_last_not_charging",24331,18619,42553.0,10035.46375805554,24331,18619,42553.0,10035.46375805554
"2024-01-01 00:00:00.000","ANDROID (NONE)",,1,1,,0.5293138888888889,0,0,,
"2024-01-01 00:00:00.000","ANDROID (CARPLAY)","first_not_charging_last_not_charging",68,45,315.0,23.74269472222222,68,45,315.0,23.74269472222222
"2024-01-01 00:00:00.000","IOS (CARPLAY)","first_not_charging_last_charging",10168,7432,56608.0,3998.2789238888918,10168,7432,56608.0,3998.2789238888918
"2024-01-01 00:00:00.000","IOS (CARPLAY)","first_charging_last_not_charging",6052,4353,8058.0,2473.8741497222213,6052,4353,8058.0,2473.8741497222213
